transaction_id,order_id,integration_type,status,error_code,processing_time_ms,retry_count,transaction_date,exception_flag,exception_types,integration_type_encoded,status_encoded,anomaly_flag,final_exception
TXN10001,SO32430,API_INVOICE,SUCCESS,,4800,0,2024-11-01 09:00:03,True,PROCESSING_TIME_EXCEEDED,0,2,False,True
TXN10002,SO36284,EDI_850,SUCCESS,,5586,0,2024-11-01 09:00:06,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10003,SO36151,EDI_856,SUCCESS,,3561,0,2024-11-01 09:00:09,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10005,SO32857,EDI_850,FAILED,,1004,0,2024-11-01 09:00:15,True,FAILED_TRANSACTION,2,0,False,True
TXN10006,SO38609,EDI_850,SUCCESS,,3422,0,2024-11-01 09:00:18,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10007,SO39110,EDI_856,SUCCESS,,4758,0,2024-11-01 09:00:21,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10008,SO33961,API_INVOICE,FAILED,ERR_INVALID_VALUE,4008,4,2024-11-01 09:00:24,True,"FAILED_TRANSACTION,PROCESSING_TIME_EXCEEDED,RETRY_LIMIT_EXCEEDED",0,0,False,True
TXN10009,SO32536,EDI_856,FAILED,ERR_INVALID_VALUE,4874,5,2024-11-01 09:00:27,True,"FAILED_TRANSACTION,PROCESSING_TIME_EXCEEDED,RETRY_LIMIT_EXCEEDED",3,0,True,True
TXN10010,SO38092,EDI_850,SUCCESS,,3336,0,2024-11-01 09:00:30,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10011,SO36180,EDI_850,SUCCESS,,5531,0,2024-11-01 09:00:33,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10013,SO31442,EDI_856,SUCCESS,,3023,0,2024-11-01 09:00:39,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10014,SO38130,API_ORDER,SUCCESS,,5925,0,2024-11-01 09:00:42,True,PROCESSING_TIME_EXCEEDED,1,2,False,True
TXN10016,SO39301,API_INVOICE,SUCCESS,,3291,0,2024-11-01 09:00:48,True,PROCESSING_TIME_EXCEEDED,0,2,False,True
TXN10019,SO36072,EDI_856,FAILED,ERR_MISSING_FIELD,5649,0,2024-11-01 09:00:57,True,"FAILED_TRANSACTION,PROCESSING_TIME_EXCEEDED",3,0,False,True
TXN10021,SO37554,EDI_856,SUCCESS,,4605,0,2024-11-01 09:01:03,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10022,SO31169,EDI_856,SUCCESS,,4109,0,2024-11-01 09:01:06,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10023,SO32200,EDI_856,SUCCESS,,4707,0,2024-11-01 09:01:09,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
TXN10026,SO35128,EDI_850,SUCCESS,,4681,0,2024-11-01 09:01:18,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10028,SO38778,EDI_850,SUCCESS,,3961,0,2024-11-01 09:01:24,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10029,SO38704,API_INVOICE,SUCCESS,,5795,0,2024-11-01 09:01:27,True,PROCESSING_TIME_EXCEEDED,0,2,False,True
TXN10031,SO30935,EDI_850,SUCCESS,,5070,0,2024-11-01 09:01:33,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10032,SO38037,API_INVOICE,SUCCESS,,4965,0,2024-11-01 09:01:36,True,PROCESSING_TIME_EXCEEDED,0,2,False,True
TXN10034,SO33431,EDI_850,SUCCESS,,3120,0,2024-11-01 09:01:42,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10036,SO32578,EDI_850,SUCCESS,,3090,0,2024-11-01 09:01:48,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10038,SO37564,EDI_856,FAILED,ERR_MISSING_FIELD,983,3,2024-11-01 09:01:54,True,"FAILED_TRANSACTION,RETRY_LIMIT_EXCEEDED",3,0,False,True
TXN10040,SO39834,API_ORDER,SUCCESS,,3298,0,2024-11-01 09:02:00,True,PROCESSING_TIME_EXCEEDED,1,2,False,True
TXN10041,SO38369,EDI_850,SUCCESS,,3131,0,2024-11-01 09:02:03,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10043,SO33325,EDI_850,SUCCESS,,3320,0,2024-11-01 09:02:09,True,PROCESSING_TIME_EXCEEDED,2,2,False,True
TXN10044,SO33675,EDI_856,PENDING,,4707,2,2024-11-01 09:02:12,True,"PENDING_SLA_BREACH,PROCESSING_TIME_EXCEEDED",3,1,False,True
TXN10045,SO35653,API_ORDER,SUCCESS,,3236,0,2024-11-01 09:02:15,True,PROCESSING_TIME_EXCEEDED,1,2,False,True
TXN10048,SO34491,EDI_856,SUCCESS,,3729,0,2024-11-01 09:02:24,True,PROCESSING_TIME_EXCEEDED,3,2,False,True
