transaction_id,order_id,integration_type,status,error_code,processing_time_ms,retry_count,transaction_date
TXN10000,SO34362,API_ORDER,SUCCESS,,2344,0,2024-11-01 09:00:00
TXN10001,SO32430,API_INVOICE,SUCCESS,,4800,0,2024-11-01 09:00:03
TXN10002,SO36284,EDI_850,SUCCESS,,5586,0,2024-11-01 09:00:06
TXN10003,SO36151,EDI_856,SUCCESS,,3561,0,2024-11-01 09:00:09
TXN10004,SO34334,API_INVOICE,SUCCESS,,2610,0,2024-11-01 09:00:12
TXN10005,SO32857,EDI_850,FAILED,,1004,0,2024-11-01 09:00:15
TXN10006,SO38609,EDI_850,SUCCESS,,3422,0,2024-11-01 09:00:18
TXN10007,SO39110,EDI_856,SUCCESS,,4758,0,2024-11-01 09:00:21
TXN10008,SO33961,API_INVOICE,FAILED,ERR_INVALID_VALUE,4008,4,2024-11-01 09:00:24
TXN10009,SO32536,EDI_856,FAILED,ERR_INVALID_VALUE,4874,5,2024-11-01 09:00:27
TXN10010,SO38092,EDI_850,SUCCESS,,3336,0,2024-11-01 09:00:30
TXN10011,SO36180,EDI_850,SUCCESS,,5531,0,2024-11-01 09:00:33
TXN10012,SO36558,API_INVOICE,PENDING,,1216,0,2024-11-01 09:00:36
TXN10013,SO31442,EDI_856,SUCCESS,,3023,0,2024-11-01 09:00:39
TXN10014,SO38130,API_ORDER,SUCCESS,,5925,0,2024-11-01 09:00:42
TXN10015,SO30749,API_ORDER,PENDING,,576,2,2024-11-01 09:00:45
TXN10016,SO39301,API_INVOICE,SUCCESS,,3291,0,2024-11-01 09:00:48
TXN10017,SO31118,API_INVOICE,SUCCESS,,1542,0,2024-11-01 09:00:51
TXN10018,SO32866,API_ORDER,SUCCESS,,1813,0,2024-11-01 09:00:54
TXN10019,SO36072,EDI_856,FAILED,ERR_MISSING_FIELD,5649,0,2024-11-01 09:00:57
TXN10020,SO34002,API_INVOICE,SUCCESS,,2306,0,2024-11-01 09:01:00
TXN10021,SO37554,EDI_856,SUCCESS,,4605,0,2024-11-01 09:01:03
TXN10022,SO31169,EDI_856,SUCCESS,,4109,0,2024-11-01 09:01:06
TXN10023,SO32200,EDI_856,SUCCESS,,4707,0,2024-11-01 09:01:09
TXN10024,SO34556,EDI_850,SUCCESS,,1884,0,2024-11-01 09:01:12
TXN10025,SO38436,API_INVOICE,SUCCESS,,2646,0,2024-11-01 09:01:15
TXN10026,SO35128,EDI_850,SUCCESS,,4681,0,2024-11-01 09:01:18
TXN10027,SO37726,EDI_850,SUCCESS,,1857,0,2024-11-01 09:01:21
TXN10028,SO38778,EDI_850,SUCCESS,,3961,0,2024-11-01 09:01:24
TXN10029,SO38704,API_INVOICE,SUCCESS,,5795,0,2024-11-01 09:01:27
TXN10030,SO33709,EDI_850,SUCCESS,,2255,0,2024-11-01 09:01:30
TXN10031,SO30935,EDI_850,SUCCESS,,5070,0,2024-11-01 09:01:33
TXN10032,SO38037,API_INVOICE,SUCCESS,,4965,0,2024-11-01 09:01:36
TXN10033,SO38075,EDI_856,SUCCESS,,1382,0,2024-11-01 09:01:39
TXN10034,SO33431,EDI_850,SUCCESS,,3120,0,2024-11-01 09:01:42
TXN10035,SO34754,EDI_856,SUCCESS,,1377,0,2024-11-01 09:01:45
TXN10036,SO32578,EDI_850,SUCCESS,,3090,0,2024-11-01 09:01:48
TXN10037,SO38821,API_ORDER,SUCCESS,,2562,0,2024-11-01 09:01:51
TXN10038,SO37564,EDI_856,FAILED,ERR_MISSING_FIELD,983,3,2024-11-01 09:01:54
TXN10039,SO33828,EDI_850,SUCCESS,,2339,0,2024-11-01 09:01:57
TXN10040,SO39834,API_ORDER,SUCCESS,,3298,0,2024-11-01 09:02:00
